drug_name,medical_condition,activity,rx_otc,pregnancy_category,alcohol
doxycycline,Acne,87,Rx,D,X
spironolactone,Acne,82,Rx,C,X
minocycline,Acne,48,Rx,D,N
Accutane,Acne,41,Rx,X,X
clindamycin,Acne,39,Rx,B,N
Aldactone,Acne,35,Rx,C,X
tretinoin,Acne,30,Rx,C,N
isotretinoin,Acne,26,Rx,X,X
Bactrim,Acne,20,Rx,D,X
Retin-A,Acne,17,Rx,C,N
Aczone,Acne,13,Rx,C,N
benzoyl peroxide,Acne,13,Rx/OTC,C,N
Differin,Acne,12,Rx/OTC,C,N
Epiduo,Acne,12,Rx,C,N
adapalene,Acne,9,Rx/OTC,C,N
cephalexin,Acne,9,Rx,B,N
Doryx,Acne,9,Rx,D,X
tetracycline,Acne,9,Rx,D,N
Septra,Acne,8,Rx,D,X
Solodyn,Acne,8,Rx,D,N
Tazorac,Acne,8,Rx,X,N
Vibramycin,Acne,8,Rx,D,X
Acticlate,Acne,7,Rx,D,X
benzoyl peroxide / clindamycin,Acne,7,Rx,C,N
Doxy 100,Acne,7,Rx,D,X
Keflex,Acne,7,Rx,B,N
sulfamethoxazole / trimethoprim,Acne,7,Rx,D,X
Benzaclin,Acne,6,Rx,C,N
Monodox,Acne,6,Rx,D,X
Targadox,Acne,6,Rx,D,X
Adoxa,Acne,5,Rx,D,X
Adoxa CK,Acne,5,Rx,D,X
Adoxa Pak,Acne,5,Rx,D,X
Adoxa TT,Acne,5,Rx,D,X
Avidoxy,Acne,5,Rx,D,X
Bactrim DS,Acne,5,Rx,D,X
Cleocin T,Acne,5,Rx,B,N
Clindagel,Acne,5,Rx,B,N
Doryx MPC,Acne,5,Rx,D,X
erythromycin,Acne,5,Rx,B,N
Morgidox,Acne,5,Rx,D,X
Oraxyl,Acne,5,Rx,D,X
Claravis,Acne,4,Rx,X,X
Clinda-Derm,Acne,4,Rx,B,N
Evoclin,Acne,4,Rx,B,N
Minocin,Acne,4,Rx,D,N
Yaz,Acne,4,Rx,X,X
adapalene / benzoyl peroxide,Acne,3,Rx,C,N
Clindacin ETZ,Acne,3,Rx,B,N
Clindacin P,Acne,3,Rx,B,N
Clindacin PAC,Acne,3,Rx,B,N
ClindaReach Pledget,Acne,3,Rx,B,N
Clindets,Acne,3,Rx,B,N
Milk of Magnesia,Acne,3,Rx/OTC,N,N
Septra DS,Acne,3,Rx,D,X
Yasmin,Acne,3,Rx,X,X
Ziana,Acne,3,Rx,C,N
Absorica,Acne,2,Rx,X,X
Acanya,Acne,2,Rx,C,N
Amnesteem,Acne,2,Rx,X,X
azelaic acid,Acne,2,Rx,B,N
Co-trimoxazole,Acne,2,Rx,D,X
dapsone,Acne,2,Rx,C,N
Duac,Acne,2,Rx,C,N
Emcin Clear,Acne,2,Rx,B,N
Epiduo Forte,Acne,2,Rx,C,N
Erygel,Acne,2,Rx,B,N
Ery Pads,Acne,2,Rx,B,N
Myorisan,Acne,2,Rx,X,X
Onexton,Acne,2,Rx,C,N
Phillips' Milk of Magnesia,Acne,2,Rx/OTC,N,N
salicylic acid,Acne,2,Rx/OTC,C,N
Spotex,Acne,2,Rx,B,N
Theramycin Z,Acne,2,Rx,B,N
Absorica LD,Acne,1,Rx,X,X
Achromycin V,Acne,1,Rx,D,N
Acne Treatment,Acne,1,OTC,C,N
Acnex,Acne,1,Rx/OTC,C,N
Ala-Tet,Acne,1,Rx,D,N
Amzeeq,Acne,1,Rx,D,N
Atralin,Acne,1,Rx,C,N
Avita,Acne,1,Rx,C,N
Azelex,Acne,1,Rx,B,N
Benzamycin,Acne,1,Rx,C,N
benzoyl peroxide / erythromycin,Acne,1,Rx,C,N
benzoyl peroxide / sulfur,Acne,1,Rx,C,N
Beyaz,Acne,1,Rx,X,X
Brodspec,Acne,1,Rx,D,N
Cleeravue-M,Acne,1,Rx,D,N
clindamycin / tretinoin,Acne,1,Rx,C,N
drospirenone / ethinyl estradiol,Acne,1,Rx,X,X
Dynacin,Acne,1,Rx,D,N
Estarylla,Acne,1,Rx,X,X
ethinyl estradiol / norgestimate,Acne,1,Rx,X,X
Gianvi,Acne,1,Rx,X,X
Loryna,Acne,1,Rx,X,X
magnesium hydroxide,Acne,1,Rx/OTC,N,N
minocycline,Acne,1,Rx,D,N
Minolira,Acne,1,Rx,D,N
Ocella,Acne,1,Rx,X,X
PanOxyl,Acne,1,OTC,C,N
PanOxyl 10% Acne Foaming Wash,Acne,1,OTC,C,N
Sotret,Acne,1,Rx,X,X
sulfacetamide sodium/sulfur,Acne,1,Rx,C,N
tazarotene,Acne,1,Rx,X,N
Tri-Previfem,Acne,1,Rx,X,X
Tri-Sprintec,Acne,1,Rx,X,X
Veltin,Acne,1,Rx,C,N
Ximino,Acne,1,Rx,D,N
Zenatane,Acne,1,Rx,X,X
Acetoxyl,Acne,0,Rx/OTC,C,N
Acne-10,Acne,0,OTC,C,N
Acne-Clear,Acne,0,Rx,C,N
Acnevir,Acne,0,Rx/OTC,C,N
Acnomel,Acne,0,OTC,N,N
Acnomel Acne Mask,Acne,0,Rx/OTC,C,N
Acnomel BP 5,Acne,0,Rx/OTC,C,N
Aktipak,Acne,0,Rx,C,N
Akurza,Acne,0,Rx/OTC,C,N
Aliclen,Acne,0,Rx/OTC,C,N
Alquam-X Acne Therapy Gel,Acne,0,Rx/OTC,C,N
Altabax,Acne,0,Rx,B,N
Altreno,Acne,0,Rx,C,N
Arazlo,Acne,0,Rx,X,N
Avar,Acne,0,Rx,C,N
Avar-E,Acne,0,Rx,C,N
Avar-E Green,Acne,0,Rx,C,N
Avar-E LS,Acne,0,Rx,C,N
Avar Cleanser,Acne,0,Rx,C,N
Avar LS,Acne,0,Rx,C,N
Avar LS Cleanser,Acne,0,Rx,C,N
Benzac,Acne,0,Rx/OTC,C,N
Benzac AC,Acne,0,Rx,C,N
Benzac AC Wash,Acne,0,Rx/OTC,C,N
Benzac W,Acne,0,Rx/OTC,C,N
Benzagel,Acne,0,Rx,C,N
Benzagel Wash,Acne,0,Rx,C,N
Benzamycin Pak,Acne,0,Rx,C,N
Benzashave,Acne,0,Rx,C,N
BenzEFoam Ultra,Acne,0,Rx,C,N
BenzePro,Acne,0,Rx,C,N
Benziq,Acne,0,Rx,C,N
benzoyl peroxide / hydrocortisone,Acne,0,Rx,C,N
benzoyl peroxide / salicylic acid,Acne,0,Rx,C,N
Binora,Acne,0,Rx/OTC,C,N
BP 10-Wash,Acne,0,Rx,C,N
BPO 6 Foaming Cloths,Acne,0,OTC,C,N
BPO Gel,Acne,0,OTC,C,N
BP Wash,Acne,0,Rx/OTC,C,N
Brevoxyl,Acne,0,Rx,C,N
Brevoxyl Acne Wash Kit,Acne,0,Rx,C,N
CeraVe SA Renewing,Acne,0,Rx/OTC,C,N
Clarifoam EF,Acne,0,Rx,C,N
Cleanse & Treat,Acne,0,Rx,C,N
Cleanse & Treat Plus,Acne,0,Rx,C,N
Clearskin,Acne,0,Rx,C,N
Compound W,Acne,0,Rx/OTC,C,N
DermalZone,Acne,0,Rx/OTC,C,N
DHS Salicylic Acid 3%,Acne,0,Rx/OTC,C,N
drospirenone / ethinyl estradiol / levomefolate calcium,Acne,0,Rx,X,X
Dulcolax Milk of Magnesia,Acne,0,Rx/OTC,N,N
Durasal,Acne,0,Rx/OTC,C,N
Enzoclear Foam,Acne,0,Rx,C,N
ethinyl estradiol / norethindrone,Acne,0,Rx,X,X
Ex-Lax Milk of Magnesia,Acne,0,Rx/OTC,N,N
Fabior,Acne,0,Rx,X,N
Fostex,Acne,0,Rx/OTC,C,N
Fostex Medicated,Acne,0,OTC,N,N
Fostex Medicated Cleansing Cream,Acne,0,OTC,N,N
Fostex Wash 10%,Acne,0,OTC,C,N
Hydrisalic,Acne,0,Rx/OTC,C,N
Inova,Acne,0,Rx,C,N
Inova 4/1,Acne,0,Rx,C,N
Inova 8/2,Acne,0,Rx,C,N
Jasmiel,Acne,0,Rx,X,X
Liquimat Light,Acne,0,Rx/OTC,N,N
Liquimat Medium,Acne,0,Rx/OTC,N,N
Lo-Zumandimine,Acne,0,Rx,X,X
Meted,Acne,0,OTC,N,N
Mono-Linyah,Acne,0,Rx,X,X
Neuac,Acne,0,Rx,C,N
Neutrogena Clear Pore Cleanser/Mask,Acne,0,OTC,C,N
Neutrogena Rapid Clear Stubborn Acne,Acne,0,OTC,C,N
Nikki,Acne,0,Rx,X,X
Oscion,Acne,0,Rx,C,N
Oxy-10,Acne,0,OTC,C,N
Oxy Daily Wash,Acne,0,OTC,C,N
P & S,Acne,0,Rx/OTC,C,N
PanOxyl 4% Acne Creamy Wash,Acne,0,OTC,C,N
Pernox,Acne,0,OTC,N,N
Persa-Gel,Acne,0,Rx/OTC,C,N
Plexion,Acne,0,Rx,C,N
Propa pH Acne Med Cleansing,Acne,0,Rx/OTC,C,N
R A Acne,Acne,0,Rx/OTC,N,N
Resinol,Acne,0,Rx/OTC,N,N
resorcinol / sulfur,Acne,0,OTC,N,N
resorcinol,Acne,0,Rx/OTC,N,N
retapamulin,Acne,0,Rx,B,N
Riax,Acne,0,OTC,C,N
Sal-Plant Gel,Acne,0,Rx/OTC,C,N
Salactic Film,Acne,0,Rx/OTC,C,N
Salex,Acne,0,Rx/OTC,C,N
salicylic acid/sulfur,Acne,0,OTC,N,N
Salvax,Acne,0,Rx/OTC,C,N
SAStid,Acne,0,OTC,N,N
Scalpicin Scalp Relief,Acne,0,Rx/OTC,C,N
Sebulex,Acne,0,OTC,N,N
SoluCLENZ Rx,Acne,0,Rx,C,N
SSS 10-4,Acne,0,Rx,C,N
SSS 10-5,Acne,0,Rx,C,N
SSS Cleanser,Acne,0,Rx,C,N
Stri-Dex,Acne,0,Rx/OTC,C,N
Stridex Body Focus,Acne,0,Rx/OTC,C,N
Stridex Maximum Strength,Acne,0,Rx/OTC,C,N
Sulfacleanse 8/4,Acne,0,Rx,C,N
Sulfoam,Acne,0,Rx/OTC,N,N
sulfur,Acne,0,Rx/OTC,N,N
Sulpho-Lac Soap,Acne,0,Rx/OTC,N,N
Sumadan,Acne,0,Rx,C,N
Sumaxin,Acne,0,Rx,C,N
Suphera,Acne,0,Rx,C,N
Syeda,Acne,0,Rx,X,X
Tinamed Plantar,Acne,0,Rx/OTC,C,N
Tri-Estarylla,Acne,0,Rx,X,X
Tri-Linyah,Acne,0,Rx,X,X
Tri-Lo-Marzia,Acne,0,Rx,X,X
Vanoxide-HC,Acne,0,Rx,C,N
Z-Clinz 10,Acne,0,Rx,C,N
Zarah,Acne,0,Rx,X,X
Zumandimine,Acne,0,Rx,X,X
Vyvanse,ADHD,100,Rx,C,X
Adderall,ADHD,95,Rx,C,X
Adderall XR,ADHD,51,Rx,C,X
Concerta,ADHD,40,Rx,C,X
lisdexamfetamine,ADHD,39,Rx,C,X
Daytrana,ADHD,38,Rx,C,X
Quillivant XR,ADHD,36,Rx,C,X
amantadine,ADHD,35,Rx,C,N
Cotempla XR-ODT,ADHD,32,Rx,C,X
Jornay PM,ADHD,32,Rx,C,X
methylphenidate,ADHD,32,Rx,C,X
QuilliChew ER,ADHD,32,Rx,C,X
Strattera,ADHD,27,Rx,C,N
Dexedrine,ADHD,24,Rx,C,X
amphetamine / dextroamphetamine,ADHD,23,Rx,C,X
Ritalin,ADHD,23,Rx,C,X
dextroamphetamine,ADHD,16,Rx,C,X
bupropion,ADHD,14,Rx,C,X
clonidine,ADHD,14,Rx,C,X
Intuniv,ADHD,13,Rx,B,X
Desoxyn,ADHD,12,Rx,C,X
guanfacine,ADHD,12,Rx,B,X
Focalin,ADHD,10,Rx,C,N
atomoxetine,ADHD,9,Rx,C,N
Focalin XR,ADHD,8,Rx,C,N
amphetamine,ADHD,7,Rx,C,X
Ritalin LA,ADHD,7,Rx,C,X
Kapvay,ADHD,6,Rx,C,X
Methylin,ADHD,6,Rx,C,X
dexmethylphenidate,ADHD,5,Rx,C,N
